indicator_id,country_iso3,date,value,prev,yoy
SP.POP.TOTL,BLZ,2022,402733.0,,
SP.POP.TOTL,BLZ,2023,411106.0,402733.0,0.020790449255462057
SP.POP.TOTL,BMU,2022,64749.0,,
SP.POP.TOTL,BMU,2023,64698.0,64749.0,-0.0007876569522309224
SP.POP.TOTL,BRN,2022,455370.0,,
SP.POP.TOTL,BRN,2023,458949.0,455370.0,0.007859542789380065
SP.POP.TOTL,CHN,2022,1412175000.0,,
SP.POP.TOTL,CHN,2023,1410710000.0,1412175000.0,-0.0010374068369713386
SP.POP.TOTL,CZE,2022,10672118.0,,
SP.POP.TOTL,CZE,2023,10864042.0,10672118.0,0.017983684213386697
SP.POP.TOTL,DJI,2022,1137096.0,,
SP.POP.TOTL,DJI,2023,1152944.0,1137096.0,0.013937257716147098
SP.POP.TOTL,DZA,2022,45477389.0,,
SP.POP.TOTL,DZA,2023,46164219.0,45477389.0,0.01510267003235388
SP.POP.TOTL,EUU,2022,447203596.0,,
SP.POP.TOTL,EUU,2023,448897545.0,447203596.0,0.003787869809526308
SP.POP.TOTL,FRA,2022,68184457.0,,
SP.POP.TOTL,FRA,2023,68372286.0,68184457.0,0.0027547187183730158
SP.POP.TOTL,ISR,2022,9557500.0,,
SP.POP.TOTL,JAM,2023,2839786.0,2839144.0,0.00022612449386153009
SP.POP.TOTL,JPN,2022,125124989.0,,
SP.POP.TOTL,JPN,2023,124516650.0,125124989.0,-0.004861850577265585
SP.POP.TOTL,POL,2022,36821749.0,,
SP.POP.TOTL,POL,2023,36687353.0,36821749.0,-0.003649908101866644
SP.POP.TOTL,PYF,2022,280378.0,,
SP.POP.TOTL,PYF,2023,281118.0,280378.0,0.0026392940958277753
SP.POP.TOTL,TKM,2022,7230193.0,,
SP.POP.TOTL,TKM,2023,7364438.0,7230193.0,0.018567277526339892
SP.POP.TOTL,TSA,2022,1648009565.0,,
SP.POP.TOTL,TSA,2023,1662580579.0,1648009565.0,0.008841583392144936
SP.POP.TOTL,TSS,2022,1228187451.0,,
SP.POP.TOTL,TSS,2023,1258809472.0,1228187451.0,0.02493269327501051
SP.POP.TOTL,TUN,2022,12119334.0,,
SP.POP.TOTL,TUN,2023,12200431.0,12119334.0,0.0066915393205600245
SP.POP.TOTL,ZMB,2022,20152938.0,,
SP.POP.TOTL,ZMB,2023,20723965.0,20152938.0,0.028334677554210708
SP.POP.TOTL,MNG,2022,3433748.0,,
SP.POP.TOTL,MNG,2023,3481145.0,3433748.0,0.01380328434119219
SP.POP.TOTL,NLD,2022,17700982.0,,
SP.POP.TOTL,NLD,2023,17877117.0,17700982.0,0.009950577883193147
SP.POP.TOTL,PAN,2022,4400773.0,,
SP.POP.TOTL,PAN,2023,4458759.0,4400773.0,0.013176321523514164
SP.POP.TOTL,PHL,2022,113964338.0,,
SP.POP.TOTL,PHL,2023,114891199.0,113964338.0,0.008132903821193608
SP.POP.TOTL,SLV,2022,6280319.0,,
SP.POP.TOTL,SLV,2023,6309624.0,6280319.0,0.004666164250573896
SP.POP.TOTL,TLS,2022,1369295.0,,
SP.POP.TOTL,TLS,2023,1384286.0,1369295.0,0.010947969575584516
SP.POP.TOTL,TUV,2022,9992.0,,
SP.POP.TOTL,TUV,2023,9816.0,9992.0,-0.017614091273018415
SP.POP.TOTL,USA,2022,333996304.0,,
SP.POP.TOTL,USA,2023,336755052.0,333996304.0,0.00825981595293342
SP.POP.TOTL,WSM,2022,215261.0,,
SP.POP.TOTL,WSM,2023,216663.0,215261.0,0.0065130237246877045
SP.POP.TOTL,ISR,2023,9849000.0,9557500.0,0.030499607637980642
SP.POP.TOTL,KNA,2022,46709.0,,
SP.POP.TOTL,KNA,2023,46758.0,46709.0,0.0010490483632704618
SP.POP.TOTL,LAC,2022,613861839.0,,
SP.POP.TOTL,LAC,2023,618190397.0,613861839.0,0.007051355410936369
SP.POP.TOTL,LKA,2022,22181000.0,,
SP.POP.TOTL,LKA,2023,22037000.0,22181000.0,-0.006492042739281367
SP.POP.TOTL,MDV,2022,524106.0,,
SP.POP.TOTL,MDV,2023,525994.0,524106.0,0.003602324720571793
SP.POP.TOTL,MHL,2022,40077.0,,
